counter,Number present,Missing,source,Binomial,rpl1p,rpl3,rpl4,rpl5,rpl6,rpl7,rpl7a,rpl7x1,rpl7x2,rpl8,rpl9,rpl10,rpl10a,rpl11,rpl12,rpl13,rpl13a,rpl14 mito,rpl14reg,rpl15,rpl17,rpl18a,rpl18,rpl19,rpl21,rpl22,rpl23,rpl23a,rpl23z,rpl24,rpl26,rpl27,rpl30,rpl31,rpl32,rpl33mito,rpL34,rpl35,rpl35a,rpl36e,rpl37,rpl42,rps0,rps2,rpS3,rps3z,rps4,rps5,rps6,rps7,rps8,rps9,rps10,rps11,rps12m,rps13,rps14,rps15,rps15a,rps16,rps17,rps18,rps19,rps20,rps21,rps23,rps24,rps25,rps26a,rps27,rps28,rps29,rps30
0,69,4,refseq,Blastocystis hominis,300121623,300121321,300120651,300121376,300175079,300123775,300121690,300122397,300120771,300120652,300123641,300122711,300122045,300120467,300120694,300120231,300175553,NaN,300176648,300120208,300122360,300123834,300175904,300120773,300120131,300176174,300175094,300176861,300120865,300122713,300176711,300120640,300120938,300122331,300176590,NaN,300120255,300120802,NaN,300176953,300175203,NaN,300123321,300175242,300123783,300121261,300121745,300123552,300120286,300176377,300123178,300120128,300123508,300120047,300120959,300122353,300120857,300123884,300121926,300120418,300122513,300121915,300123350,300175943,300120174,300120089,300123364,300120352,300176467,300122460,300175324,300121360,300121697
1,43,30,db_est,Schizochytrium sp.,NaN,148525023,148526412,NaN,NaN,NaN,NaN,NaN,148526273,NaN,148527329,148526231,148526066,NaN,148527430,148527046,NaN,NaN,NaN,148528401,148528779,148525307,148525157,148526593,148525604,148526984,148525416,148525850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148526896,148526451,148526280,148527155,148527398,148528535,NaN,148528724,148525474,148527173,148528513,148525185,148528255,NaN,148525414,148527088,148528843,148525794,148525177,NaN,NaN,148526908,148525268,NaN,148528193,NaN,NaN,NaN,148528771,148525859,148525870,NaN,148527494,148527620,NaN,148526039,NaN
2,64,9,nr_nt,Saprolegnia parasitica,NaN,288565300,288565310,288565264,76445342,288565280,288565305,NaN,288565264,76444683,288565305,288564919,288565298,2885652942,76444074,288565256,76444495,NaN,288565264,2885652832,288565296,288565289,288565298,288565133,288565174,288565288,288565278,NaN,NaN,288565259,288565310,288565255,288565203,76444528_2,288565231,NaN,288565269,288565312,288565245,288565310,NaN,NaN,288565203,288565303,288565292,288565277,288565309,NaN,288565300,288565222,288565228,288565190,288565283,288565300,288565300,288565284,288565238,288565312,288563981,288565223,288565283,88565196,288565257,288565279,76444743,288565311,76444582,288565312,288565313,76445230,288565294,76445129,76445143
3,65,8,db_est,Aphanomyces cochliodes,NaN,144586376,144585996,144584865,144585846,144583925,144584479,NaN,144585611,144584867,144586316,144583834,144586556,144585289,144584259,144586090,144585511,NaN,144584831,144584408,144585455,NaN,144584568,144584944,144584433,144585084,144586397,144584755,NaN,NaN,144585302,144585878,144584041,144586824,144584007,NaN,144584578,144584798,144586979,144587349,144584596,144584336,144585561,144584470,144584996,NaN,144586399,144584087,144584815,144586566,144586859,144584562,144584730,144584533,144585937,144583962,144587385,144586323,144584620,144585814,144587075,144586771,144586352,144584948,144584603,144584643,144584485,144585778,144584651,144583902,144585205,144584111,144584046
4,15,58,nr_nt,Aphanomyces euteiches,NaN,166040871,166043265,166040803,166042579,166039156,NaN,NaN,166038692,166039078,NaN,NaN,166042839,NaN,NaN,166035797,NaN,NaN,NaN,NaN,NaN,166052925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,166037720,166042590,NaN,166047228,166034569,166044009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,50,23,db_est,Albugo candida,353410265,353399047,353419334,353368424,353355361,353433310,353392492,NaN,353353534,353384259,353405843,353368318,353383032,353429361,353388456,353392195,NaN,NaN,353409472,353369649,353432703,NaN,353414299,353407604,353356490,NaN,353354415,353368331,NaN,353368298,353377450,353417017,NaN,NaN,353369725,NaN,NaN,353410671,353408551,353373652,353372584,NaN,353405467,NaN,NaN,353408161,353384333,353364396,NaN,353363206,NaN,353378739,353385762,353374271,353380898,NaN,353428364,NaN,353389630,NaN,353386289,NaN,353413702,NaN,NaN,353370779,353399025,353427593,353405849,353361290,NaN,NaN,353356925
6,65,8,refseq,Albugo laibachii,325188926,325184995,325183777,325186379,325192297,NaN,325184411,NaN,325190177,325182867,325186734,325188278,325186011,325186976,325193685,325179824,NaN,NaN,325186380,325186477,325188353,325187790,325181748,325189036,325180167,325183057,325186350,325189571,325190029,325181659,325184162,325189767,325187763,325187519,325190962,325185165,325182723,325190096,325181117,325189853,NaN,325184640,325179525,325181905,325183243,325183864,325184655,325189713,325188645,325189119,325187856,325188058,325180683,325184912,325183412,325182189,325184044,325190185,325187276,325190343,325183337,325182081,325188132,NaN,325187864,325184307,325188695,325185071,325186631,NaN,325183099,NaN,325190270
7,56,17,db_est,Pythium oligandrum,NaN,166256366,NaN,NaN,166333891,166321967,NaN,NaN,166258443,166333887,166296685,166332953,166264989,166249531,166262040,166282064,166337052,NaN,166293251,166249511,166327759,NaN,166333354,NaN,166254658,NaN,166296677,166259023,NaN,NaN,166301475,166258494,166252292,166339658,166332813,NaN,166305923,NaN,NaN,166333232,166264988,166296312,NaN,166299538,166284351,166325859,166294040,166258729,166254314,NaN,166249504,166259004,166299370,166322194,166332687,166309230,166341412,166254661,166249895,166266582,166266275,166301670,166309401,166340024,166255015,166250262,166261999,166266276,166314727,166337452,166296870,NaN,166252979
8,64,9,db_est,Pythium ultimum,148604286,148599180,148602100,148598784,207514863,148602828,207416984,NaN,148604819,148607237,148603918,148606290,207466037,207431524,148600935,148600888,207401930,NaN,NaN,148598531,148599291_2,148605475,148600069,148602669,148603878,148604040,148600620,148604018,NaN,NaN,207406705,148603673,148601535,207521430,148605076,NaN,207455580,207470425,148602605,148599034,207469703,207386697,148602550,148602154,148604019,148599344,148605911,148601848,148605015,148600595,148604708,207426644,NaN,148605930,207436613,148598628,148603992,148605236,148604285,148604686,148600483,148603441,148604954,207413790,207451144,207374287,207465123,NaN,148606481,207393473,NaN,207468984,148600504
9,68,5,db_est,Phytophthora brassicae,NaN,144598690,144592724,144590793,144598759,144590710,144594965,NaN,144589719,144590660,144592636,144590270,144593572,144591256,144589629,144598710,144589610,NaN,144594357,144593601,144591292,144596502,144596550,144595944,144591166,144595955,144590680,144597846,NaN,144599283,144598023,144593428,144599127,144600124,144596760,NaN,144597265,144593576,144594436,144595140,144589180,144592067,144598657,144589027,144595928,144590584,144597004,144597470,144600184,144598675,144599951,144597895,144592151,144598701,144591441,144592532,144588519,144599584,144593493,144597577,144590859,144594197,144595773,144596234,144590079,144596868,144597614,144593711,144592820,144595037,144594850,144597550,144590206
